Distance Between Class Centroids,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,Average Intraclass Cluster Distance
0,0,0.14,0.027,0.042,0.058,0.041,0.036,0.077,0.044,0.061,0.166
1,0.14,0,0.114,0.098,0.087,0.1,0.108,0.065,0.097,0.082,0.076
2,0.027,0.114,0,0.016,0.038,0.021,0.022,0.054,0.02,0.04,0.155
3,0.042,0.098,0.016,0,0.026,0.013,0.021,0.038,0.009,0.026,0.148
4,0.058,0.087,0.038,0.026,0,0.018,0.022,0.022,0.018,0.005,0.115
5,0.041,0.1,0.021,0.013,0.018,0,0.009,0.036,0.005,0.02,0.139
6,0.036,0.108,0.022,0.021,0.022,0.009,0,0.043,0.015,0.026,0.131
7,0.077,0.065,0.054,0.038,0.022,0.036,0.043,0,0.34,0.017,0.106
8,0.044,0.097,0.02,0.009,0.018,0.005,0.015,0.034,0,0.019,0.151
9,0.061,0.082,0.04,0.026,0.005,0.02,0.026,0.017,0.019,0,0.106